open,high,low,close,volume,rsi,macd,macd_signal,ema_20,sma_50,bollinger_m,bollinger_h,bollinger_l,adx,obv
3091.8,3174.94,3090.47,3137.67,534.1345,48.82335404786531,-44.035780939962024,-46.68389223893822,3125.5885776527984,3234.7244,3137.068,3291.7031083809866,2982.432891619014,34.207535514607386,-4417.891199999999
3138.89,3147.55,3100.37,3108.65,680.4638,45.62952051501347,-40.112582343291706,-45.369630259808915,3123.9753797811036,3226.2151999999996,3134.541,3289.2992430631707,2979.7827569368296,32.55975138371491,-5098.355
3107.99,3139.5,3084.12,3120.02,325.218,47.089917225902184,-35.674719256518074,-43.43064805915075,3123.5986769448077,3218.4492000000005,3130.6475,3282.729810460485,2978.565189539515,31.24476526105958,-4773.137
3121.39,3143.62,3101.82,3130.05,231.6122,48.406439864739994,-30.99109753033872,-40.942737953388345,3124.21308866435,3209.5371999999998,3127.4885,3276.839996714962,2978.1370032850377,29.94895356483048,-4541.5248
3130.08,3147.55,3110.31,3142.85,200.8544,50.11242789291651,-25.947335807203217,-37.94365752415133,3125.9880326010784,3201.3706,3124.611,3270.407870048706,2978.8141299512936,28.67032292124654,-4340.6704
3143.55,3157.82,3119.68,3138.61,234.5061,49.52821155404191,-22.038208123183722,-34.76256764395781,3127.1901247343094,3193.1204,3121.4335,3263.0412900787924,2979.825709921208,27.278249620341732,-4575.1765
3138.57,3154.33,3091.74,3107.06,472.8575,45.29654425789801,-21.24116269412889,-32.05828665399203,3125.272969997708,3184.3835999999997,3116.6485000000002,3253.3222022656487,2979.974797734352,26.437978315381667,-5048.034
3106.36,3246.74,3094.0,3236.1,1170.0194,60.25410622467432,-10.080843196218211,-27.662797962437264,3135.827925236021,3178.6222,3119.0915,3262.314850369272,2975.868149630728,25.083033299538737,-3878.0145999999995
3237.12,3343.41,3230.62,3335.6,798.8145,67.60868822066351,6.715200207514499,-20.787198328446912,3154.853837118305,3175.3824,3127.185,3297.5640541703974,2956.8059458296025,25.035074314531528,-3079.2000999999996
3336.07,3372.44,3302.69,3337.45,686.0631,67.72825801066581,19.94554532203483,-12.640649598350565,3172.2439478689425,3175.347,3133.7309999999998,3324.6256564888586,2942.836343511141,25.292383795634485,-2393.1369999999997
3338.63,3345.44,3250.64,3266.15,346.0302,58.7300543649979,24.396151376749458,-5.233289403330561,3181.1873814052337,3175.2560000000003,3136.999,3334.497422768384,2939.500577231616,24.636088898239617,-2739.1672
3265.47,3292.13,3262.59,3284.38,194.3822,60.186512339793836,29.059319637546196,1.625232404844791,3191.0152498428306,3175.5160000000005,3141.7160000000003,3348.3514009747596,2935.080599025241,24.02667220780152,-2544.785
3284.91,3286.27,3203.4,3254.43,494.6059,56.649358883559366,29.992464917229427,7.298678907321718,3197.054749857799,3175.6206,3145.639,3357.636290256266,2933.6417097437343,22.516485195376383,-3039.3909
3253.39,3274.02,3171.17,3231.74,1079.0065,54.057376524213396,28.571738684306183,11.553290862718612,3200.358107014199,3175.2806,3150.607,3365.7619283748795,2935.4520716251204,21.162137301759657,-4118.3974
3231.68,3260.83,3208.48,3241.95,405.06,55.05393917586791,27.94750316068439,14.832133322311769,3204.3192396795134,3175.0484,3162.8759999999997,3369.304580908748,2956.4474190912515,19.904528543401273,-3713.3374
3241.58,3250.86,3168.62,3205.72,362.6929,50.83970098338986,24.24979723009028,16.71566610386747,3204.4526454243214,3174.1398000000004,3173.594,3365.0014996858795,2982.1865003141206,19.30425877332716,-4076.0303
3205.42,3287.81,3204.57,3258.86,333.6571,56.14257934942952,25.31547153255815,18.435627189605604,3209.634298241053,3175.5626,3188.325,3357.01720545123,3019.6327945487697,18.141646889081095,-3742.3732
